State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.56685	2.57205	2.56401	2.56307	2.56732	2.55219	2.53848	2.51105	2.47653	2.44815	2.42593	2.39424	2.35405	2.32709	2.30203	2.24481	2.20887	2.17955	2.13747	2.08545	2.04478
2	1.32789	1.31007	1.31643	1.29606	1.29734	1.28333	1.25278	1.22731	1.20949	1.17384	1.12419	1.15220	1.15220	1.12292	1.07708	1.05289	1.04398	1.02361	1.02361	1.05798	1.07708
3	1.63049	1.60972	1.53703	1.50587	1.38125	1.38125	1.60972	1.72396	1.77589	1.74473	1.69281	1.70319	1.54741	1.54741	1.52664	1.51626	1.44356	1.37086	1.43317	1.47471	1.47471
4	4.96058	5.08069	4.96058	4.94857	4.70834	4.63628	4.42008	3.95165	3.81952	3.95165	4.05975	3.80751	3.59131	3.61534	3.35109	3.20696	3.26701	3.11087	2.91869	2.81059	2.84663
5	4.14250	4.05838	3.81656	3.86913	3.94273	3.87965	3.78502	3.81656	3.81656	3.92170	3.81656	3.38549	3.00699	2.77568	2.88082	2.97545	3.04905	3.32241	3.44858	3.20675	3.32241
6	2.73967	2.79446	2.58138	2.50832	2.42309	2.41091	2.20391	2.27697	2.44744	2.45353	2.19174	2.14303	1.86906	1.92386	1.93603	2.02127	1.85080	1.95430	1.99692	2.10650	2.10041
7	3.81294	3.59371	3.65635	3.42146	3.30402	3.24922	3.13961	3.13178	2.95170	2.76379	2.69333	2.52891	2.81077	2.99868	2.85775	2.96736	3.13961	2.98302	2.96736	2.94387	2.96736
8	4.22678	4.06728	3.58877	3.42927	3.11027	3.22990	3.58877	3.98753	3.34952	2.67164	2.59189	3.34952	3.15015	2.51214	3.78815	3.78815	2.67164	2.87102	3.30965	3.54890	3.34952
9	1.20881	1.24001	1.21661	1.21661	1.24781	1.41158	1.43498	1.53636	1.70014	1.91071	1.91851	2.02769	2.14467	2.09788	2.20706	2.15247	2.09788	1.96530	1.98090	1.74693	1.72354
10	1.29142	1.24666	1.31699	1.32978	1.44485	1.58550	1.56632	1.58550	1.54075	1.47043	1.51518	1.65583	1.63665	1.71337	1.87319	1.89237	2.05860	2.21203	2.16728	2.33989	2.20564
11	1.39496	1.29808	1.41986	1.40326	1.42263	1.37835	1.47799	1.51120	1.62191	1.72155	1.71602	1.59147	1.69111	1.58593	1.61084	1.67173	1.60254	1.60254	1.64682	1.61084	1.66343
12	1.20314	1.20685	1.21154	1.21746	1.21923	1.22268	1.22666	1.22755	1.22834	1.23268	1.24187	1.25116	1.26292	1.27451	1.27902	1.28468	1.29414	1.29635	1.30440	1.31148	1.31829
13	0.38638	0.38693	0.38717	0.38717	0.38678	0.38638	0.38615	0.38693	0.38693	0.38882	0.38945	0.39007	0.38952	0.39000	0.38968	0.39133	0.39345	0.39439	0.39518	0.39502	0.39604
14	1.31488	1.30762	1.31488	1.32457	1.32457	1.34394	1.34394	1.35120	1.38995	1.38268	1.36815	1.38268	1.38026	1.38026	1.38510	1.41901	1.44322	1.44806	1.44564	1.44806	1.45775
15	2.06069	2.16459	2.04914	2.02605	2.07223	2.02605	2.13572	2.31466	2.45897	2.38970	2.58596	2.62059	2.59173	2.46474	2.40702	2.40125	2.25117	2.38970	2.15881	2.31466	2.14727
