State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.84731	0.77803	0.70290	0.62442	0.55848	0.49879	0.45788	0.41740	0.39611	0.39360	0.39277	0.39736	0.40654	0.41865	0.43868	0.47750	0.57809	0.72502	0.90158	1.07688	1.23048
2	1.93059	1.71708	1.40580	1.11250	0.84168	0.69335	0.60457	0.55625	0.52816	0.51467	0.52591	0.54164	0.58659	0.60008	0.66413	0.85404	1.33388	2.24861	3.32515	4.30505	5.06246
3	1.63165	1.63165	1.63165	1.61332	1.59499	1.47582	1.37499	1.26499	1.13666	1.06332	1.03582	1.02666	0.90749	1.03582	1.05416	1.27416	1.45749	1.73248	1.97998	2.15415	2.28248
4	6.02169	6.99704	8.06779	9.96547	12.08579	15.31927	18.05447	20.22779	19.59170	15.90235	15.75393	33.67058	45.66096	48.93684	43.85869	35.01698	27.40505	20.99111	16.51724	13.53820	11.85255
5	10.55150	12.67665	15.52565	17.82712	19.40474	17.38168	12.90866	7.31274	4.15750	3.17380	3.20164	3.53573	6.85801	20.04507	38.67957	53.42569	59.39281	55.10539	46.78112	37.97428	30.22537
6	3.59501	4.06789	5.38445	7.21689	9.99509	15.02488	19.88808	21.42496	20.29111	19.30772	17.85682	13.99313	13.70832	14.18658	14.67559	13.20319	10.22616	7.48020	5.07278	3.97654	3.15436
7	4.35371	5.04477	6.36471	8.12692	11.81721	18.27175	30.28245	47.26882	61.76736	60.08807	48.85136	63.92348	59.57668	46.27369	29.93692	17.71199	9.84076	6.43381	4.56794	3.23418	2.38417
8	4.25870	4.43468	5.31457	6.82800	8.23583	10.80513	15.73255	25.09465	42.23503	104.00376	187.17157	85.27956	47.19764	27.87512	18.37224	10.62915	7.07437	5.38497	4.46987	3.94194	2.39332
9	2.47810	2.81540	2.80851	3.15269	3.51752	3.68961	3.94431	4.08198	4.10263	3.47622	2.80851	2.50563	2.22340	1.85169	1.65207	1.54881	1.45932	1.56258	1.50751	1.52128	1.50063
10	1.72109	1.74366	1.71544	1.76059	1.61952	1.73802	1.70416	1.55744	1.39944	1.12858	1.06087	0.93672	0.90851	0.88029	0.79565	0.78436	0.86901	0.80129	0.95929	0.82951	0.94237
11	3.01706	3.42260	3.78416	4.10907	4.27031	4.10174	3.58872	2.91935	2.44541	2.52603	2.50648	1.95926	1.76871	1.82245	2.01301	2.54557	3.02928	3.21739	3.15876	2.94866	2.72879
12	1.42259	1.39519	1.35881	1.30253	1.21745	1.09302	0.93463	0.77624	0.65775	0.60256	0.58156	0.58608	0.61286	0.65525	0.71481	0.78670	0.85532	0.91347	0.96086	0.99154	1.01371
13	0.31962	0.31795	0.31490	0.31150	0.30908	0.30499	0.29805	0.29230	0.28481	0.28058	0.27836	0.27871	0.28100	0.28488	0.29022	0.29285	0.29632	0.29909	0.30173	0.30291	0.30506
14	0.90623	0.89982	0.89341	0.86349	0.83143	0.75448	0.64975	0.53647	0.43602	0.38686	0.37404	0.35907	0.38258	0.42319	0.49373	0.57281	0.64762	0.70319	0.73311	0.75662	0.76944
15	1.92076	1.92585	1.71697	1.60488	1.53355	1.38071	1.30938	1.23295	1.27371	1.51827	1.32976	0.90688	0.71837	0.81518	0.81518	0.94255	1.02916	1.19220	1.19220	1.27881	1.32976
