State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	7.35225	0.47358	2.84654	2.21793	2.42476	0.39278	0.62666	0.25767
2	2.73088	0.36320	1.38141	2.28955	1.12431	0.52593	1.30643	0.11466
3	0.33478	0.25793	1.39616	2.22207	1.69298	1.03586	1.43643	0.12199
4	0.28947	30.49948	5.76299	2.07297	4.06017	15.75441	17.60078	0.11516
5	0.33069	4.14373	3.38384	2.22611	3.81696	3.20174	19.28385	0.16676
6	0.57108	25.02979	3.59785	1.04880	2.19196	17.85737	11.58365	0.60621
7	0.44407	65.31787	8.40102	1.35447	2.69361	48.84595	23.67080	0.30242
8	0.08719	105.80060	13.98374	1.45723	2.59216	187.17731	25.59639	0.20747
9	0.44581	1.81165	1.26633	1.13627	1.91871	2.80860	2.63307	0.28818
10	0.54383	0.37785	1.19630	1.08606	1.51534	1.06090	1.30262	0.38281
11	1.25618	2.05837	1.34895	1.18100	1.71620	2.50656	2.93365	0.41248
12	39.31268	0.51788	1.13442	1.07556	1.24200	0.58158	0.98414	0.84625
13	44.26295	0.16581	0.32044	0.61603	0.38949	0.27837	0.32825	1.38962
14	1.43580	0.39549	1.45824	0.83448	1.36830	0.37405	0.63430	0.74055
15	0.60233	1.41336	2.08454	1.16883	2.58623	1.32980	1.35705	0.77966
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
