State (Emission order)	H3k79me2	H3k36me3	H3k04me1	H3k27ac	H3k09ac	H3k04me3	H3k04me2	H2az	Ctcf	H3k09me3
1	0.13712560959000392	0.056531837421288644	0.0034173184876378922	5.96831485795934E-4	0.009600637513179378	0.022523966515216324	8.892142272512755E-4	0.0014267802843290335	0.0013007160624350558	0.003049692609991365
2	0.6324744035725444	0.06942019994626182	0.045629343943753904	0.0036940553461804206	0.025114259352315774	0.056922619795493706	0.013721930756416435	0.0015867280436419008	0.006153561381114514	0.01158498640321682
3	0.7835039130120734	0.09843466567321864	0.5345794707414397	0.6134064370468486	0.3578617649393698	0.2707396318841561	0.45051275347385505	0.003627709553603573	0.023425887733574985	0.004104380425196293
4	0.8540231210508482	0.06000239023061728	0.15910832653791013	0.9781195584677709	0.9875196217982497	0.972849795628821	0.9664363603148776	0.16035182858474242	0.04539359703341808	5.978822819506892E-4
5	0.8497264477627435	0.0464757231392077	0.1298657003302801	0.01187281927572475	0.6440830765266612	0.8311295571070975	0.8869877581641206	0.009944373227126123	0.017264782142730736	0.0014147027229077897
6	0.028254045464474572	0.008183408311030056	0.13390644747012492	0.045744799003652956	0.2525048640853776	0.5727637639971545	0.8017039415975821	0.2739418314067817	0.14514351617179436	0.014511544343161173
7	0.16293865836699994	1.0978405672672942E-4	0.03189941022750969	0.5637792970945494	0.9950164919615718	0.9987719800291792	0.9652049397975114	0.7948652356482087	0.1503421642102327	0.001575137473631623
8	0.04958354323855622	2.392097720571652E-41	5.58907456508977E-170	0.5698977334792178	0.8227263024964832	0.8096668759534529	0.10635634149465584	0.14336290992031928	0.07436709448808985	2.5354696950707857E-4
9	0.08542013489626041	0.002505885464882708	0.4992707367262003	0.9863562212589403	0.7063131736560749	0.621401004927003	0.9494225923452589	0.21528069349713266	0.04831380687104342	8.91510484071778E-4
10	0.06653206821144969	0.012640523535586456	0.32905490454874653	0.8509215688750791	0.21315625072276295	0.15141877850797272	0.20453924024089154	0.05208525387319294	0.01712493708491579	0.012594579005933765
11	0.05223427290134748	0.0023722949130967693	0.17301836022251513	0.016046589426287686	0.0588967764603088	0.11399434292012937	0.07759863563941517	0.03525373108249471	6.990179526436852E-4	0.0029655488372015673
12	0.014351311325417518	0.0012687301652962702	8.418051765547649E-4	1.1287469049222717E-4	0.006363946327442731	0.021492851067380327	7.351606541784045E-4	0.007515543426871799	5.985675517627682E-12	0.0031718751175455755
13	0.005800893344623272	1.5504426299780625E-4	8.178762214021797E-5	5.272407437745699E-5	0.0024899177566010075	0.01683196151012486	4.2960957024525327E-4	0.0037972270864667884	4.538931995078863E-4	0.005437718814453915
14	0.026786924236591746	0.03391009519313359	9.154874404511946E-4	5.318745897670701E-4	0.003037189463992731	0.04898789570018193	0.00209975807478529	0.01424831761228187	0.003175568280017115	0.2625779734938735
15	0.036136444385098984	0.008021856997140683	0.025683661251870025	0.0037765601840425455	0.02697775809995475	0.04320876489447867	0.05172460471080264	0.024512851763577474	0.9701606092892301	0.006246216273139462
