15	10	E	-8742245.588314336	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	3.3344241356687004E-263
probinit	13	1.0
probinit	14	0.0
probinit	15	0.0
transitionprobs	1	1	0.9765644945530583
transitionprobs	1	2	0.009819430626595762
transitionprobs	1	3	0.0
transitionprobs	1	4	1.7422139842829147E-5
transitionprobs	1	5	6.470081632059576E-4
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	4.0623051276304424E-5
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0012264575499997118
transitionprobs	1	11	0.004388854980734002
transitionprobs	1	12	0.003378935784168366
transitionprobs	1	13	0.0
transitionprobs	1	14	8.967337617868421E-4
transitionprobs	1	15	0.0030200393893320535
transitionprobs	2	1	0.02658733002681266
transitionprobs	2	2	0.9429372854757712
transitionprobs	2	3	0.017036858043795195
transitionprobs	2	4	0.0
transitionprobs	2	5	0.011873574708930426
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	3.190577096128019E-5
transitionprobs	2	9	0.0
transitionprobs	2	10	6.111984927111225E-4
transitionprobs	2	11	1.1417394357544183E-4
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0
transitionprobs	2	14	3.1566759878273823E-4
transitionprobs	2	15	4.920059386599551E-4
transitionprobs	3	1	0.0
transitionprobs	3	2	0.13796806779420023
transitionprobs	3	3	0.7949723794620198
transitionprobs	3	4	0.03364779718970785
transitionprobs	3	5	0.003930823804453545
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	3.2505540427768597E-7
transitionprobs	3	9	0.019441328915509697
transitionprobs	3	10	0.009339438587491327
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0
transitionprobs	3	14	0.0
transitionprobs	3	15	6.998391912132726E-4
transitionprobs	4	1	0.0
transitionprobs	4	2	0.0
transitionprobs	4	3	0.04045123419446094
transitionprobs	4	4	0.7878120059675507
transitionprobs	4	5	0.07671169650932941
transitionprobs	4	6	0.0
transitionprobs	4	7	0.026355473039813466
transitionprobs	4	8	0.05515114184109828
transitionprobs	4	9	0.012506943169794867
transitionprobs	4	10	0.0
transitionprobs	4	11	9.711477880065492E-4
transitionprobs	4	12	0.0
transitionprobs	4	13	0.0
transitionprobs	4	14	5.490672981719597E-6
transitionprobs	4	15	3.486681696386147E-5
transitionprobs	5	1	0.015805595608277587
transitionprobs	5	2	0.1018202848293546
transitionprobs	5	3	0.004575361362546975
transitionprobs	5	4	0.06572926458820957
transitionprobs	5	5	0.7522408070273859
transitionprobs	5	6	7.816168638779469E-4
transitionprobs	5	7	0.04402800838434681
transitionprobs	5	8	0.0017713099670514678
transitionprobs	5	9	4.625916088840821E-6
transitionprobs	5	10	0.0
transitionprobs	5	11	0.013185810115822979
transitionprobs	5	12	0.0
transitionprobs	5	13	0.0
transitionprobs	5	14	5.7315337037391325E-5
transitionprobs	5	15	0.0
transitionprobs	6	1	0.0
transitionprobs	6	2	0.0
transitionprobs	6	3	0.0
transitionprobs	6	4	0.0
transitionprobs	6	5	4.634237126993895E-4
transitionprobs	6	6	0.5692321298953554
transitionprobs	6	7	0.1057846257303054
transitionprobs	6	8	5.130206890275713E-4
transitionprobs	6	9	0.009308653776000791
transitionprobs	6	10	1.403507709713412E-4
transitionprobs	6	11	0.09766656380932337
transitionprobs	6	12	0.16560961300466742
transitionprobs	6	13	0.023555792899532725
transitionprobs	6	14	0.007537800313445684
transitionprobs	6	15	0.020188025398670862
transitionprobs	7	1	1.979707598868035E-4
transitionprobs	7	2	0.0
transitionprobs	7	3	0.0
transitionprobs	7	4	0.017915094164082632
transitionprobs	7	5	0.034961988387330487
transitionprobs	7	6	0.1412261382146091
transitionprobs	7	7	0.7066323170699813
transitionprobs	7	8	0.07426011444659257
transitionprobs	7	9	0.006476358943446939
transitionprobs	7	10	0.0
transitionprobs	7	11	0.010372462103309102
transitionprobs	7	12	0.006251122933815879
transitionprobs	7	13	0.0
transitionprobs	7	14	9.874891632453366E-5
transitionprobs	7	15	0.0016076840606207606
transitionprobs	8	1	0.004243457061253235
transitionprobs	8	2	0.0014422244738469337
transitionprobs	8	3	1.3833554564268236E-4
transitionprobs	8	4	0.16667835992450034
transitionprobs	8	5	0.009015666005227721
transitionprobs	8	6	0.0034032391223621705
transitionprobs	8	7	0.34887329866665956
transitionprobs	8	8	0.42159597203189403
transitionprobs	8	9	0.0017419103015227078
